composition,Mean VEC,electronegativity_difference,Atomic_Radius_Difference,Calculated_Youngs_Modulus,Mixing_Enthalpy,Mixing_Entropy,Work_Function,Shear_Modulus_G,MOd_Missmatch,shear_modulus_difference,melting_Temp,cohesive_enrg,Ionization_enrg,Pauling_electronegativity
Cr1 Cu1 Nb1,7.3333,0.18,12.0,171.3333,3.5556,9.1339,1.08,67.1,-0.1108,0.2587,2095.9233,5.0533,7.084,0.0336
Co0.63 Nb1.25 W1.62,8.0343,0.4022,13.98,265.3543,-12.0516,8.5879,1.3187,101.5914,-0.1431,0.3105,3010.64,7.6132,7.4724,0.2394
Al0.65 Co1.09 N0.96 Pd0.61 W1.49 Zr0.66,7.3626,0.8879,58.2326,239.8443,-80.8268,14.4276,2.0943,77.9771,-0.2069,0.4651,1944.989,5.7889,8.7207,0.5643
Co1 Cr1 Cu1 Fe1 Mn1,8.2,0.214,1.8,205.4,4.16,13.3809,1.01,71.06,-0.0717,0.1538,1727.154,3.836,7.542,0.0372
Cu1 Li1 Mn1 Ni1 Si1 Ta1,7.0,0.6433,20.6667,138.6667,-17.5556,14.8967,1.72,46.5833,-0.1434,0.2536,1672.57,4.2017,7.3722,0.2232
Cr0.76 Fe0.9 Mo0.17 Ti1.97,5.4368,0.4996,11.8684,180.6289,-11.8978,9.4996,2.0657,70.6,-0.0658,0.1808,2000.7342,4.6531,7.0823,0.051
Ba1 Co1 Cr1 Mo1 W1 Zr1,6.1667,0.8233,95.6667,222.5,20.3333,14.8967,1.3817,84.8333,-0.212,0.3961,2277.8333,5.36,6.9095,0.491
Al1.04 Fe0.7 Mg1.16 Nb0.88 Re1.94 Zr0.32,6.3013,0.3447,23.4801,214.1391,-4.7557,13.8896,1.7469,81.7536,-0.3181,0.7054,2172.2862,5.3509,7.2822,0.1041
Al1 Zn1,7.5,0.02,8.0,89.0,1.0,5.7628,2.525,34.65,-0.0262,0.0581,813.075,2.355,7.69,0.0008
B1 Co1 Fe1 Ni1 Re1 Ta1,8.3333,0.3433,38.8333,286.5,-27.1111,14.8967,1.5317,108.3333,-0.0828,0.1854,2400.8333,5.8067,7.9152,0.0552
Mn0.95 Mo0.64,6.5975,0.3645,7.1698,250.7296,4.8099,5.6038,1.1869,69.2138,-0.133,0.3627,2073.2642,4.4898,7.2992,0.179
Co1.85 Cr1.14 Cu0.57 Nb1.59 Ni1.01 Ta0.79 V1.08,7.5118,0.2275,13.0523,178.4483,-15.1941,15.6513,1.1217,68.5717,-0.0531,0.118,2192.3349,5.4096,7.3076,0.0438
Ag1.69 Mn1.59 Mo1.22 Zr0.1,8.1391,0.5166,22.487,188.2326,21.6297,9.7299,1.135,55.663,-0.1783,0.4836,1793.0786,4.0438,7.3799,0.1296
B1 Si1,3.5,0.07,13.0,278.5,-14.0,5.7628,3.75,108.5,-0.1313,0.3213,2018.0,5.18,8.2245,0.0098
Co1.86 Cr1.72 Fe1.94 W1.67 Y1.05,7.5765,0.6155,42.5473,246.5449,-0.1784,13.2155,1.1999,98.0947,-0.0727,0.1516,2258.6189,5.2265,7.4379,0.2218
Ba1 Fe1 Mo1 Nb1 Ni1 V1,6.0,0.78,99.3333,164.3333,17.6667,14.8967,1.3083,63.0,-0.1726,0.3277,2061.3333,4.9733,6.893,0.3127
Al1.54 Co1.01 Fe0.88 Nb0.25 Ni0.18,6.1658,0.1659,22.2513,146.8446,-18.7592,11.4292,1.8494,54.8166,-0.0894,0.2126,1506.5917,4.1623,7.0458,0.0326
Au1 C1 Pd1,6.3333,0.23,47.6667,416.3333,-23.1111,9.1339,1.96,80.3333,-0.2484,0.6304,2360.1267,5.02,9.6077,0.0529
Al0.31 Co0.64 Cr1.38 Cu0.43 Ni1.94 V1.73,7.4261,0.1529,9.6267,187.5303,-11.3315,13.317,1.1041,74.9101,-0.0531,0.1057,1888.3432,4.4805,7.1621,0.0346
Sc1 V1,4.0,0.135,14.0,101.0,7.0,5.7628,2.195,43.0,-0.0464,0.106,1998.5,4.29,6.654,0.0364
Al0.63 Cu1.72 Fe0.55 Ta1.77 Ti0.4,8.43,0.2117,16.3235,149.7771,-6.0816,11.9271,1.6143,56.1095,-0.0451,0.0868,2074.793,5.2763,7.5153,0.0645
Cu1 Ta1,10.0,0.2,9.0,158.0,2.0,5.7628,1.285,58.65,-0.0144,0.0311,2323.885,5.795,7.808,0.08
Be0.24 Cr1.15 Cu0.11 Fe0.72 N0.78,6.0833,0.9788,44.3,263.3167,-71.2221,11.5031,2.0623,86.4943,-0.0721,0.1467,1461.3106,4.267,9.2984,0.6878
Cr1 Nb1,5.5,0.03,9.0,192.0,-7.0,5.7628,1.12,76.5,-0.1052,0.2533,2465.0,5.835,6.763,0.0018
Al1.44 Co1.22 Cr1.9 Fe0.74 Ni1.8 Ti0.91 Zr1.18,6.4178,0.3598,28.9195,176.1153,-28.6798,15.789,1.6017,67.936,-0.1053,0.212,1781.3979,4.4899,7.0439,0.0718
Co0.59 Cr1.64 Cu0.67 Nb0.53 Ni0.67,7.7732,0.164,16.7585,209.1756,-4.2114,12.4876,1.0398,82.0173,-0.0713,0.1315,1986.1673,4.5462,7.2256,0.0325
Al1.57 Fe0.18 Li1.87 Mo1.24 Ni1.35,4.6634,0.6217,18.0322,136.2979,4.2559,12.1812,1.6283,50.7738,-0.3089,0.7479,1379.0167,3.7914,6.4445,0.4016
Al1 Cr1 Fe1 Mn1 Si1 Ti1 Y1,5.0,0.3957,44.4286,149.2857,-31.8367,16.1783,2.2071,55.7571,-0.1132,0.2725,1695.7814,4.0857,7.0407,0.0844
Co1 Cr1 Cu1 Fe1 Mo1 Ni1,8.3333,0.27,10.6667,226.3333,2.7778,14.8967,1.0917,86.05,-0.0402,0.0823,1956.795,4.5867,7.5025,0.0433
Ni1.37 W1.7,10.0,0.2492,8.3062,316.8404,-2.9653,5.7147,1.3095,123.0684,-0.0532,0.1179,2817.2182,6.9097,7.764,0.1001
Cr1.62 Cu1.27 Nb1.53 Ta1.74 V1.6,7.0876,0.2546,9.1778,168.3209,-0.1594,13.3373,1.1536,66.629,-0.0717,0.1634,2407.3283,5.8307,7.1698,0.0317
Co1 Mn1 Mo1 V1,6.75,0.355,7.75,216.0,-5.0,11.5257,1.0925,71.75,-0.0848,0.1897,2091.5,4.86,7.29,0.1137
Cr1.02 Ni0.53,7.3677,0.1645,2.6323,251.9871,-6.3004,5.3402,1.0021,101.6645,-0.0163,0.0331,2025.4452,4.2163,7.0655,0.0281
Au1 Co1 W1 Zr1,7.0,0.6975,18.0,198.0,-26.5,11.5257,1.2375,74.0,-0.2105,0.5232,2232.0825,5.905,7.9012,0.4407
Al1 Be1 Co1 Fe1 Y1,5.0,0.402,47.6,168.2,-21.12,13.3809,1.792,71.26,-0.1205,0.2661,1574.294,3.97,7.4616,0.1097
Al1.35 Co0.74 Cr0.66 Mn0.66 Ni0.58,6.2882,0.208,5.3133,170.4211,-17.9176,12.9261,1.7039,58.6679,-0.1257,0.3095,1506.7881,3.7576,6.9466,0.0383
Co1 Cr1 Cu1 Fe1 Mn1 Ni1 Re1,8.8571,0.2543,9.1429,241.4286,2.449,16.1783,1.0871,87.0429,-0.1098,0.2556,1974.6814,4.5029,7.6043,0.0347
Al1 Co1 Cu1 Fe1 Pd1 V1,7.6667,0.3583,10.6667,144.8333,-16.1111,14.8967,1.325,55.4333,-0.0566,0.1151,1646.8817,4.12,7.4297,0.0773
W1 Zr1,7.0,0.515,10.5,252.5,-9.0,5.7628,1.46,97.0,-0.1744,0.4353,2911.5,7.715,7.249,0.5304
Fe1 N1 Nb1 Sc1,5.25,1.0825,59.75,172.5,-123.5,11.5257,2.6775,47.25,-0.0805,0.188,1609.5375,5.0025,8.9392,0.8364
Cr0.34 Cu1.92 Mo1.11 Pd0.82 W1.79,9.3512,0.4534,6.8428,258.2876,8.4855,12.2538,1.1911,98.5462,-0.1188,0.2561,2454.1354,5.817,7.6802,0.0919
Co1 Ni1 V1 Zr1,7.0,0.3575,24.25,157.75,-31.5,11.5257,1.145,60.25,-0.0407,0.0839,1951.75,5.1675,7.2253,0.1088
Mg1 Mo1,4.0,0.425,3.0,187.0,36.0,5.7628,1.7,68.5,-0.2225,0.5652,1909.5,4.165,7.3725,0.3613
Al0.78 Cu1.93 Hf0.54 Mn1.36 Ni0.85 Si0.86 V1.13,7.3826,0.4224,31.4913,142.1745,-23.2401,15.5458,1.6841,46.5722,-0.0441,0.0938,1631.4218,4.0718,7.3158,0.0736
C0.73 Co1.36 Nb1.81 Ni1.14 Pd0.22,7.1882,0.6535,54.962,284.2985,-51.889,12.0974,1.5561,74.3726,-0.1118,0.3188,2397.7226,5.8878,7.9307,0.187
Al1 Pd1,6.5,0.295,10.5,95.5,-46.0,5.7628,1.985,35.15,-0.0285,0.0634,1380.76,3.625,7.1615,0.1741
Al1 Cr1 Fe1 Ni1 V1,6.4,0.182,8.0,177.6,-15.36,13.3809,1.408,71.26,-0.0821,0.1684,1767.094,4.298,7.0082,0.0287
C1.53 Cr1.58 Nb0.86 Ni0.85,5.8921,0.5741,42.0954,478.7593,-64.2611,11.1691,1.986,111.8423,-0.0947,0.182,2752.7282,5.8171,8.3457,0.3266
Fe0.18 Ta1.44,8.8889,0.2933,17.7778,188.7778,-5.9259,2.9002,1.5122,70.4444,-0.0015,0.0034,3125.6667,7.6756,7.8913,0.0215
Co1 Fe1 Hf1 Ni1 Ti1 V1 Zn1 Zr1,7.5,0.3338,21.375,151.25,-26.4375,17.2885,1.5575,55.0,-0.0595,0.1218,1844.71,4.6462,7.4812,0.097
Fe1 Mo1 N1,6.3333,0.6967,45.0,280.0,-90.6667,9.1339,2.43,80.6667,-0.0739,0.1641,1590.05,5.33,9.845,0.5216
Co1 Cr1 Cu1 Sn1 Ta1,7.8,0.28,24.2,170.8,-0.16,13.3809,1.698,65.06,-0.1162,0.2412,1820.17,4.644,7.5216,0.0598
Ba1.5 Cu0.66 Fe0.41 Ni1.24 Pd1.04,7.4928,0.7586,85.1732,116.6289,-15.0351,12.6546,1.3551,43.9171,-0.2038,0.4442,1480.9341,3.2452,7.0724,0.5441
Co0.67 Cr0.66 Fe1.5 Mn0.91 V0.29,7.397,0.1829,7.0372,212.8958,-2.9612,12.37,1.0146,73.8288,-0.0576,0.1217,1825.1166,4.0358,7.5238,0.0326
Au1 Co1 Ta1 V1 Zr1,6.4,0.764,18.2,139.0,-31.84,13.3809,1.198,52.2,-0.0653,0.1342,2141.266,5.626,7.6754,0.3564
Be1 Mn1,4.5,0.01,11.0,242.5,-10.0,5.7628,1.525,83.5,-0.1375,0.3374,1539.5,3.14,8.378,0.0002
Co1 Hf1 Mo1 Ni1 Re1 Sn1,8.0,0.5517,21.0,232.5,-13.8889,14.8967,1.785,82.8333,-0.1951,0.4261,2143.68,5.4517,7.4448,0.1392
Al1 Cr1 Mn1 Ni1 Pd1 Ti1,6.6667,0.455,16.5,164.0,-32.5556,14.8967,1.6883,56.7167,-0.1191,0.2844,1688.2533,3.9267,7.1653,0.1132
Cr1 Fe1 Nb1 Si1 Ti1,5.4,0.194,20.6,163.6,-38.4,13.3809,2.168,65.2,-0.0884,0.2015,2073.8,5.086,7.2814,0.0376
Ba1 Cr1 Cu1 Ni1 W1,7.8,0.854,98.6,206.6,23.04,13.3809,1.308,81.06,-0.2188,0.4391,1992.154,4.47,7.0418,0.4671
Al1 Co1 Cu1 Mn1 Nb1 Ni1 Re1 Ti1,7.5,0.1963,15.5,186.375,-17.5625,17.2885,1.625,65.075,-0.1737,0.497,1932.03,4.865,7.2668,0.053
Co1.38 Cr0.19 N1.93 Nb0.46 Ni1.36,7.3515,0.7636,41.0996,233.2199,-86.5916,11.6166,2.4702,60.7876,-0.0484,0.1132,1238.9097,4.8488,10.0962,0.6795
Al1.53 W0.79,5.3836,0.4946,13.8491,186.1164,-1.7965,5.3324,2.472,72.1677,-0.2403,0.7823,1873.8186,5.2465,6.6255,0.2526
Al1.51 Fe0.84 Ni1.87 Re0.37 Ti0.68,6.9715,0.2228,20.5199,172.1309,-25.0849,12.2149,1.9307,65.7482,-0.1215,0.3403,1662.5901,4.4009,7.1199,0.0456
Co1.97 Cr0.56 Ni0.71 Ta1.02 V1.32,7.8799,0.2331,14.8584,191.5143,-17.5385,12.5731,1.1035,73.7867,-0.0187,0.0445,2180.6452,5.2631,7.4717,0.0492
Fe1 V1 Zr1,5.6667,0.2667,20.0,144.3333,-16.0,9.1339,1.1467,57.3333,-0.0553,0.1218,2040.6667,5.3733,7.094,0.0844
Ta1 Zr1,6.5,0.085,7.0,140.0,3.0,5.7628,1.53,51.0,-0.054,0.1246,2709.0,7.315,7.262,0.0144
Al0.23 Co0.91 Cr1.77 Ni1.92 W0.91,8.3275,0.4725,11.4704,254.0296,-6.4189,11.9887,1.1823,99.3517,-0.0578,0.1184,2153.7261,4.991,7.3782,0.1092
Al1.21 Co1.29 Ni0.32 V0.97 Zr0.15,6.0635,0.387,33.6827,141.2614,-25.4873,11.6524,1.6341,54.0947,-0.0698,0.1498,1624.3372,4.3857,6.9526,0.0456
Fe1 Ni1,9.0,0.04,1.0,205.5,-2.0,5.7628,1.105,79.0,-0.0007,0.0014,1769.5,4.36,7.771,0.0032
Al1 Ni1 Ti1,5.6667,0.2233,17.3333,128.6667,-38.6667,9.1339,2.4,48.7667,-0.0795,0.1779,1534.1567,4.2167,6.818,0.0515
Nb0.19 Re0.11,7.2,0.19,5.7,236.2667,-24.1511,5.4636,1.3493,89.3333,-0.1899,0.5703,3009.9667,7.691,7.17,0.0418
Co1 Cr1 Mn1 Ti1,6.5,0.2225,15.25,200.5,-12.5,11.5257,1.5075,67.25,-0.0957,0.2167,1852.0,4.065,7.2275,0.0374
Cr1 Cu1 Mn1 Mo1 Pd1 Ti1 V1 Zr1,6.625,0.4538,22.25,174.375,-19.0,17.2885,1.3425,62.0375,-0.1167,0.2794,2004.1025,4.7387,7.1964,0.169
Fe1 Ni1 Ti1 V1,6.75,0.1875,14.25,163.75,-20.25,11.5257,1.535,64.75,-0.0261,0.0545,1915.75,4.72,7.279,0.0442
Hf1 Mo1 Ni1 Re1,8.75,0.5175,19.25,284.0,-22.0,11.5257,1.4275,101.0,-0.1357,0.293,2647.25,6.295,7.361,0.2002
Al1 Li1 Nb1 Ta1 V1 Zr1,4.5,0.4617,24.6667,99.0,7.0,14.8967,1.5517,37.9167,-0.1592,0.3045,1956.3533,5.4167,6.5678,0.106
Cu1.54 Mn1.58 Ni0.7 V1.59 Zr1.51,7.0795,0.3047,24.2717,144.2919,-13.012,13.082,1.1115,46.7257,-0.0369,0.0843,1789.7162,4.5375,7.1872,0.0905
Co0.5 Cr1.84 Cu0.48 Fe1.25 Si0.42 Ti1.34 Zr1.39,6.0139,0.3188,25.144,176.5997,-24.5534,15.068,1.6662,69.1626,-0.0983,0.2076,1949.8725,4.7485,7.1706,0.0781
Cr1 Cu1 Fe1 Mo1 Zn1,8.6,0.32,8.0,211.4,10.08,13.3809,1.28,81.66,-0.0748,0.1556,1787.49,4.008,7.7776,0.0698
Co1 Cr1 Fe1 Nb1 Ti1,6.4,0.178,12.6,184.0,-16.64,13.3809,1.47,70.8,-0.0718,0.1552,2090.0,5.038,7.2274,0.0346
Cu1.74 Fe1.13 Pd1.95 Ti0.52 V0.8 Zn1.93,9.5316,0.3471,13.368,132.8055,-18.4171,14.1109,1.367,51.2976,-0.0274,0.0646,1495.197,3.4535,8.1422,0.1015
Co1 Fe1 Mg1,6.3333,0.3633,13.0,155.0,8.8889,9.1339,1.3633,58.0,-0.1184,0.2523,1500.6667,3.3933,7.8097,0.1328
Ni1 Re1,10.5,0.005,6.5,331.5,2.0,5.7628,1.28,127.0,-0.0689,0.1613,2593.5,6.17,7.76,0.0001
Al1 Sc1 Sn1 V1 W1,5.0,0.576,25.0,146.6,-8.96,13.3809,2.56,58.26,-0.2903,0.8282,1826.11,4.796,6.9004,0.2386
Al1.45 Cu1.26 Mo1.82 Ti1.07 V1.59,5.7524,0.366,14.9221,165.7469,-5.2765,13.2447,1.7841,63.2967,-0.1295,0.2979,1930.8598,4.9116,6.866,0.1165
Co1 Cr1 Cu1 Fe1 Mo1 Si1 Ta1 Zr1,7.125,0.44,27.125,193.125,-26.25,17.2885,1.6212,73.6625,-0.0766,0.1603,2139.7212,5.2925,7.5062,0.1201
Cr1 Fe1 Mn1 N1 Ni1,7.2,1.042,49.0,237.6,-63.68,13.3809,1.806,69.6,-0.0832,0.1787,1460.23,4.126,8.8554,0.5747
Cu1.9 Fe0.21 Ni0.7 Sc0.12 Ta1.58,9.7916,0.3838,27.5033,162.765,-5.2754,10.4764,1.2931,60.9069,-0.0214,0.0467,2125.3998,5.2834,7.7473,0.0793
Co1.61 Cu1.69,10.0242,0.0102,1.5364,168.5424,5.9965,5.7604,1.0146,61.3264,-0.0214,0.0474,1557.9125,3.9291,7.8016,0.0002
Cr0.36 Fe1.45 Ni0.26 V0.5,7.3385,0.1454,6.3658,203.2646,-5.8782,9.5487,1.0137,81.1518,-0.0193,0.0421,1926.6654,4.4714,7.4916,0.019
Al0.16 Cr1.55 Fe1.36,6.7296,0.1227,8.5928,237.9837,-2.963,7.1476,1.0865,95.7583,-0.0358,0.057,1951.5685,4.1412,7.2291,0.0153
Cu1 Fe1 Mn1 Ni1 V1,8.2,0.214,6.2,173.4,-1.6,13.3809,1.032,59.66,-0.0411,0.0849,1719.754,4.088,7.4896,0.0432
Al0.9 Cu1.08 Fe0.9,7.5625,0.1775,6.25,136.5625,1.3281,9.102,1.6438,51.9562,-0.0819,0.1826,1366.8106,3.6963,7.2372,0.0303
Al1.14 Co1.87 Cr1.38 Ni0.27 Pd0.86 Ti0.7,6.8537,0.411,18.2492,176.0305,-26.2142,13.8174,1.5895,67.2174,-0.1028,0.2147,1732.4918,4.1217,7.2206,0.086
Co0.69 N1.85,6.0866,0.8449,43.7008,275.2795,-59.3574,4.8628,3.8123,49.5079,-0.0382,0.0989,526.2785,4.7542,12.7267,0.5325
Cr0.15 Hf0.85 Mg1.73 Ta1.26 Zn1.78,7.6014,0.196,15.5546,115.8925,3.9704,11.916,1.858,40.8388,-0.1178,0.303,1634.7072,3.6314,8.0947,0.0461
Al1 Co1 Zr1,5.3333,0.2767,25.6667,124.3333,-46.2222,9.1339,1.8433,44.7667,-0.1002,0.2318,1609.8233,4.76,6.8337,0.1008
Cr1 Cu1 Fe1 Hf1 Zr1,7.4,0.304,19.8,171.6,-13.28,13.3809,1.244,61.66,-0.1219,0.2768,1996.554,4.884,7.1708,0.1237
Al1 Co1 Fe1 Mn1 Si1,6.2,0.204,10.4,159.0,-30.72,13.3809,2.132,53.06,-0.0806,0.1703,1543.694,3.916,7.4708,0.0421
Mg1 Y1,2.5,0.045,16.5,54.5,-6.0,5.7628,1.94,29.0,-0.0729,0.1712,1361.0,2.985,6.9315,0.0041
Cr1 Fe1 Mo1 N1 Si1 Ta1,6.3333,1.025,54.1667,235.3333,-84.0,14.8967,2.3833,78.8333,-0.0726,0.151,1987.8583,5.47,8.7238,0.5034
Al1 Co1 Cu1 Fe1 Hf1,7.8,0.404,27.8,152.8,-20.0,13.3809,1.57,52.32,-0.0894,0.189,1675.248,4.308,7.264,0.1029
Cr1.24 Cu0.6 Fe1.7 Mn1.81 Ni1.41,8.0488,0.1967,2.395,210.5089,-0.451,12.9111,1.0447,71.2263,-0.07,0.1544,1742.9633,3.8461,7.4982,0.0423
Al1 Au1 Cr1 Cu1 Nb1 Ni1 Re1 Ti1,6.875,0.7075,16.0,180.125,-17.625,17.2885,1.605,69.075,-0.2004,0.5147,1960.8212,4.9388,7.3515,0.1836
Cu1 Ni1 Pd1 Sc1 Sn1 Zr1,7.0,0.4467,21.8333,111.5,-48.5556,14.8967,2.0117,41.3833,-0.0878,0.1969,1560.15,4.1267,7.3738,0.2063
C1 Cu1 Fe1 Ti1 Zr1,6.2,0.72,56.2,320.2,-61.44,13.3809,2.098,75.46,-0.1699,0.4394,2230.554,5.304,8.07,0.343
Co1 Ni1 Zr1,7.6667,0.3767,23.6667,167.6667,-40.0,9.1339,1.2267,61.3333,-0.0486,0.1067,1874.6667,5.12,7.385,0.1422
Co0.11 Cr1.54 Mo1.84 Nb0.46 Ni0.9 Pd0.74 Ti0.85 Zr1.89,6.114,0.4421,18.8715,198.3325,-26.4435,15.694,1.4215,74.9532,-0.1208,0.2496,2247.9048,5.5422,7.0644,0.2106
Co1 Hf1 Mo1 Ti1 Zr1,6.2,0.518,21.0,178.4,-19.68,13.3809,1.74,60.4,-0.1316,0.313,2247.8,5.722,7.0534,0.2199
Cr0.65 Cu1.71 Fe0.37 Mg1.66 Ta1.23,7.1281,0.2958,10.8292,139.7153,13.0186,12.3327,1.4171,53.5183,-0.134,0.33,1777.1773,4.0367,7.6389,0.1166
Al0.99 Mn1.4,5.3431,0.0351,5.272,144.9791,-18.4409,5.6399,1.8619,31.3962,-0.009,0.0186,1276.4583,3.1023,6.8342,0.0017
Al1.93 Cr0.47 Fe0.7 Nb1.43 Ti0.96 V1.32,4.6696,0.202,14.5815,123.9941,-18.5417,14.1143,1.9032,49.0498,-0.0917,0.2494,1875.377,4.9777,6.6652,0.0112
Co0.83 Cr0.37 Fe0.36 Hf1.72 Nb0.5 Ta1.73 V0.82 W0.75,7.9096,0.7257,17.6073,196.0212,-12.6447,15.9608,1.3824,69.4605,-0.117,0.3055,2664.4534,6.4807,7.357,0.193
Au1 B1 Co1 Ti1 Zr1,5.0,0.674,47.2,189.4,-54.08,13.3809,1.906,69.8,-0.2144,0.5714,1904.666,5.06,7.7734,0.3513
Al0.68 Co1.44 Cr0.54 Fe0.46 Li0.96 Mn0.46 Ni0.89 V0.74,6.2723,0.657,22.1491,157.316,-2.5232,16.6786,1.2432,57.6428,-0.1729,0.3136,1536.2275,3.8214,6.9847,0.1903
Al1.73 Co1.68 Cr1.76 Fe1.81 Mo1.76 Pd0.69,6.6607,0.3445,10.895,212.9056,-12.237,14.5758,1.4386,81.0052,-0.0921,0.1761,1914.9701,4.5427,7.2169,0.0888
Co1.04 Cu1.94 Fe0.65 Mn1.54 Ti0.34 Zr0.28,8.4905,0.4168,30.3661,168.8066,-3.2775,13.1816,1.1672,52.3492,-0.0485,0.109,1596.7157,3.8156,7.5904,0.0661
Al1 Cr1 Mn1 Nb1 Ni1 Ta1 Ti1 Zr1,6.0,0.3225,23.0,156.0,-23.25,17.2885,1.6938,54.5375,-0.1121,0.267,2058.6838,5.2338,6.9922,0.0469
Au1 Co1 Fe1 Ni1 Pd1 Zr1,7.6667,0.6183,23.6667,152.1667,-29.5556,14.8967,1.115,56.1667,-0.0772,0.1559,1766.73,4.555,7.9367,0.272
Be1 N1,3.5,0.735,20.0,293.5,-39.0,5.7628,3.425,86.0,-0.1179,0.2861,811.575,4.125,11.928,1.0804
Fe1 Li1,4.5,0.425,13.0,111.0,26.0,5.7628,1.035,43.1,-0.3137,0.8146,1132.325,2.955,6.647,0.3613
Cr0.16 Fe1.14,7.7538,0.1491,1.7538,219.3692,-0.4317,3.1012,1.034,86.0615,-0.0067,0.0159,1856.4154,4.2578,7.7623,0.0062
Al2.0 Fe1.69 Mn1.62 Ti1.49,5.4147,0.195,18.5132,145.6162,-21.6486,11.4761,2.0603,46.0941,-0.0919,0.2193,1511.8235,3.8103,6.9916,0.0267
Al1.87 Cu0.74 Mo1.14 Nb0.17 Ta1.54 Ti0.65,6.2029,0.4477,16.0507,160.6956,-11.3868,13.441,2.0565,59.4178,-0.1241,0.3106,2102.7052,5.4917,6.9954,0.1195
Cr1.55 Fe0.27 Mn0.46 Ti1.38 Zr0.88,5.2247,0.2715,20.2423,181.3436,-10.4326,12.0281,1.6928,67.4559,-0.1322,0.2831,2008.3546,4.6901,6.8948,0.0363
Al1.46 Au0.45 Cr0.71 Ni1.68 Re0.79 Si0.55 V0.4 Zr0.54,6.4954,0.7471,31.4954,182.0623,-32.7809,16.16,1.8546,70.9678,-0.184,0.4654,1838.6451,4.7756,7.2219,0.1451
Al0.71 Co0.78 Cr0.83 Ni0.21 Ti0.56,5.9773,0.2107,18.8835,178.3981,-23.0551,12.7269,1.8267,69.0042,-0.1106,0.2337,1715.5481,4.1622,6.9391,0.0362
Co1 Cr1 Cu1 Pd1,9.0,0.29,9.0,184.75,-4.0,11.5257,0.9775,70.575,-0.0711,0.1604,1783.455,3.9675,7.6778,0.0738
Al1 Cr1 Cu1 Fe1 Mn1 Nb1 Ni1 Ti1,6.75,0.21,16.5,163.625,-13.875,17.2885,1.5675,58.075,-0.1039,0.2362,1777.53,4.3762,7.1302,0.0422
Ag1 Al1 Ba1 Ni1 Re1 Ti1,6.8333,0.74,99.0,157.5,-2.3333,14.8967,1.94,59.8833,-0.3322,0.9061,1716.0667,4.1533,6.8537,0.2658
Al1.59 Fe1.42,5.3588,0.1162,4.2259,136.5183,-10.9649,5.7496,2.0853,52.5771,-0.1123,0.2797,1347.4543,3.794,6.8899,0.0241
Al0.19 Au1.82 Fe1.09 Nb1.74 Ni2.0 Zr0.44,6.7102,0.6085,23.4231,138.6415,-25.5309,13.2415,1.21,51.6699,-0.0936,0.2004,1890.4684,5.1023,7.7612,0.29
Co0.27 Cu0.86 Mg1.2 Ni0.22 Ti1.27,5.6466,0.3159,15.2147,108.2592,-1.6052,11.7827,2.0035,40.5204,-0.0862,0.2119,1465.4116,3.4385,7.4083,0.1178
Cr1.07 Nb1.31 Pd0.59,6.3535,0.4592,10.1246,170.8653,-27.3193,8.7289,1.1044,66.9327,-0.1219,0.2915,2361.4981,5.5888,7.0754,0.106
Co1.81 Mg0.12 Nb1.33 Ni1.91 Ti1.71 Zr1.46,6.5899,0.358,20.9544,148.7938,-32.2541,13.742,1.6107,54.7854,-0.0611,0.1213,2001.7758,5.3361,7.2093,0.0982
Al1 Au1 Cu1 Ti1 V1,5.6,0.696,16.2,104.4,-24.0,13.3809,1.788,40.52,-0.0425,0.0888,1550.514,4.162,7.3024,0.2722
Cr0.56 Cu1.47 Hf1.71 Mn1.03 Nb0.58 V1.01 Zn0.47,7.9078,0.3053,20.5608,152.0439,-6.3224,15.3303,1.2752,47.2286,-0.0759,0.2225,1931.4702,4.5558,7.2655,0.0857
Cr1 Cu1 Ni1,9.0,0.1633,2.6667,203.0,4.0,9.1339,1.0267,79.7667,-0.0537,0.1177,1755.2567,4.01,7.3777,0.0267
Al0.35 Co0.52 Cr1.13 Ni1.25 W0.61 Zn1.45,9.1356,0.5452,11.0075,208.2411,-4.2181,13.9643,1.4895,81.6789,-0.1047,0.2371,1718.985,3.9601,7.8735,0.104
Al0.67 Cu0.78 Fe1.89 Mn1.64 Mo1.2 Nb0.36 Ni1.02 Zr0.35,7.3059,0.458,30.1441,194.8559,-7.7513,16.0844,1.3086,65.0348,-0.1076,0.2277,1842.098,4.4975,7.3616,0.0998
Cr1.04 Cu0.33 Ni1.44 Ti1.49 Zr0.54,6.6921,0.347,23.7707,174.5165,-24.5497,12.3178,1.71,67.8428,-0.0819,0.1812,1910.0814,4.6616,7.0961,0.0776
Ag0.68 Be1.58 Fe1.73 N1.97 Ni1.48 Ti1.04 Zr1.88,5.8697,1.1214,55.4373,198.7732,-92.211,15.7845,2.2092,64.6622,-0.1206,0.2821,1461.2652,4.6568,8.9829,0.6725
Co1 Cr1 Cu1 Fe1 Ni1 Si1 Ti1,7.4286,0.2629,20.0,178.8571,-25.3878,16.1783,1.8157,69.6143,-0.0527,0.1151,1781.8243,4.3114,7.5564,0.0362
Al1 Au1 Cr1 Cu1 Fe1 Mo1,6.5,0.59,13.5,182.8333,-0.6667,14.8967,1.395,69.7667,-0.1469,0.3047,1752.595,4.3083,7.451,0.2029
