composition,Mean VEC,Atomic_Radius_Difference,Calculated_Youngs_Modulus,Mixing_Enthalpy,Mixing_Entropy,Work_Function,Shear_Modulus_G,MOd_Missmatch,shear_modulus_difference,melting_Temp,cohesive_enrg,Ionization_enrg,Pauling_electronegativity
Al0.38 Co0.45 Fe1.61 Mg1.19 Ta1.94 V0.8 Zr1.67,6.044,23.062,141.061,-5.959,15.044,1.486,53.553,-0.104,0.198,2095.418,5.324,7.391,0.083
Co1 Cr1 Mn1 Nb1 Ni1 Ti1,6.833,14.167,184.5,-18.222,14.897,1.418,63.833,-0.087,0.196,1981,4.712,7.218,0.045
Al0.78 Au1.4 Co1.89 Cr0.46 Mo1.92 Ni1.82,7.114,13.247,203.486,-5.957,14.08,1.318,75.173,-0.109,0.208,1892.378,4.752,7.633,0.161
Au1 Fe1 Nb1 Ti1,5.5,14.75,127.5,-25.5,11.526,1.6,47.75,-0.081,0.188,1959.832,5.125,7.679,0.316
C1 Co1 Cr1 Mn1 Mo1,6.4,47.8,413,-38.88,13.381,1.662,103,-0.095,0.195,2455.6,5.12,8.088,0.261
Au1 Cr1 Mo1 Ni1 Ti1,6.2,12.4,200.4,-15.52,13.381,1.5,76.4,-0.115,0.236,2016.466,4.802,7.512,0.258
Al1 Co1 Cr1 Cu1 Mo1 Pd1 Ta1,7.714,14.143,189.143,-16.571,16.178,1.411,71.086,-0.102,0.215,2036.184,4.879,7.384,0.125
Al1 Co1 Mo1 Re1 Ta1,7.6,15,251.4,-18.4,13.381,1.68,93.66,-0.139,0.303,2469.294,6.114,7.347,0.109
Al1 Au1 Cr1 Cu1 Mg1 Nb1 Ti1,5.143,18.571,117.571,-11.429,16.178,1.756,45.086,-0.163,0.451,1631.796,4.097,7.277,0.267
Cr1 Fe1 Mo1 Ni1 Sn1 Ti1,6.333,24.333,197.5,-7.333,14.897,1.92,75.833,-0.119,0.228,1843.513,4.605,7.263,0.081
Al0.98 Cr1.36 Cu1.0 Fe1.17 Nb0.17 Sn0.39 V0.85,6.439,32.432,164.03,-0.98,15.1,1.515,65.599,-0.128,0.256,1668.289,4.12,7.059,0.031
Fe0.16 Mo1.32 Ni0.15 Ta1.24 Ti1.1 V1.85,6.101,15.67,187.814,-5.32,12.789,1.567,72.565,-0.062,0.142,2512.875,6.109,7.14,0.128
Al1.24 Co1.08 Mn1.55 Ni0.93 V0.74,6.731,8.973,162.48,-19.111,13.125,1.483,50.672,-0.076,0.168,1560.262,3.879,7.14,0.045
B1 Co1 Cr1 Mo1 Nb1 Ni1 Ti1 W1,6.625,44.125,262.375,-27.25,17.288,1.657,99.875,-0.107,0.218,2413.375,5.85,7.392,0.144
Al1 C1 Co1 Cu1 Fe1 Mn1 Ni1 W1,7.75,49.625,309.875,-22.812,17.288,1.706,84.2,-0.161,0.361,2090.905,4.894,7.962,0.207
Al0.48 Co0.2 Fe1.03 Ni0.27 Pd1.5 Ti0.11 W0.86 Zr1.47,7.449,21.242,174.431,-44.376,15.059,1.392,65.948,-0.161,0.435,2093.75,5.358,7.504,0.285
Cr1 Cu1 Mo1 Nb1 Sc1,6.2,21.4,183.4,4.32,13.381,1.624,70.06,-0.144,0.314,2199.554,5.05,6.983,0.149
Ag1 Al1 Cr1 Nb1 Re1 Ta1 Ti1 V1,6.75,19.625,178.75,-6.938,17.288,1.645,69.662,-0.19,0.491,2246.425,5.518,7.054,0.044
Al0.14 Fe1.7,7.62,7.391,200.272,-3.093,2.237,1.199,77.762,-0.025,0.036,1744.231,4.21,7.756,0.007
Al1 Fe1 Mn1 Ni1 Si1 Ti1 V1,5.857,20.286,147.143,-36.653,16.178,2.103,52.471,-0.063,0.132,1686.067,4.256,7.241,0.046
Co1 Mo1 Re1 Ti1 V1,7,11.4,249,-15.36,13.381,1.55,94.8,-0.116,0.266,2449.4,5.854,7.287,0.096
Ag1 B1 Cr1 Ni1 Ta1 Ti1 W1,7.571,45.571,246.429,-15.837,16.178,1.729,95,-0.138,0.289,2345.419,5.581,7.552,0.16
Co1 Cr1 Fe1 Hf1 Mn1 Mo1 Nb1 Zr1,6.625,21.25,196.125,-15.062,17.288,1.251,66,-0.131,0.281,2194.75,5.329,7.163,0.145
Co1 Fe1 Ni1 Re1 Ti1,8.4,15.2,239.8,-16.64,13.381,1.534,91,-0.102,0.25,2141.4,5.172,7.626,0.039
Co1.37 Cr1.0 Fe1.88 Sc1.04,6.898,28.803,196.403,-10.455,11.242,1.5,76.006,-0.064,0.127,1870.208,4.076,7.419,0.074
Cu1.03 Mo1.49 Ni1.04,8.615,7.565,233.739,7.132,9.003,1.21,86.401,-0.06,0.124,2109.737,5.161,7.438,0.032
Co0.25 Cu1.04 Mn0.38 V0.4 Zr0.75,7.571,23.039,136.309,-14.038,12.322,1.126,46.04,-0.031,0.073,1737.766,4.56,7.271,0.113
Be1.96 Cr0.11 Cu0.5 Fe0.26 Mn0.65 Ti1.53 Y0.18,4.503,51.576,198.607,-19.951,12.984,2.013,79.825,-0.14,0.288,1681.704,3.857,7.964,0.036
Co1 Cu1 Hf1 Mn1 Ti1 V1,7.333,22.333,154.167,-13.111,14.897,1.462,48.217,-0.044,0.095,1879.128,4.497,7.24,0.086
Co1 Mo1 Nb1 Ni1 Pd1 Ti1,7.333,12.667,180,-30.222,14.897,1.482,66.167,-0.081,0.185,2151.842,5.327,7.424,0.125
Co1.15 Cr1.81 Pd1.94,8.288,7.349,200.016,-10.534,8.937,0.962,77.502,-0.07,0.161,1943.963,4.085,7.65,0.113
Au0.46 Co0.47 Fe1.16 Ni1.37 Sc1.66 Ta0.86 Zr1.45,6.464,19.676,144.276,-31.54,15.396,1.757,54.137,-0.088,0.183,1997.374,4.942,7.386,0.223
Cu1 Fe1 Pd1 Ti1 V1 Zr1,7,21,133.333,-30.889,14.897,1.405,51.383,-0.04,0.09,1874.803,4.725,7.362,0.155
Al1.29 Cr1.79 Fe1.79 Ni0.19 Ti0.66 W1.89,6.882,16.886,244.251,-8.875,13.567,1.621,96.495,-0.125,0.241,2226.149,5.283,7.201,0.182
Al0.53 Cr1.11 Fe1.35 Re0.34 V0.95,6.435,10.178,212.771,-9.111,12.537,1.254,85.738,-0.096,0.207,2011.518,4.636,7.112,0.021
Fe1 Nb1 Ni1 Ti1 V1 Zr1,6,20.5,142.333,-22.222,14.897,1.492,55,-0.054,0.114,2090.167,5.497,7.085,0.072
Co1 Cu1 Nb1 Re1 Ta1,9,11.4,218.6,-10.88,13.381,1.264,81.66,-0.145,0.375,2524.954,6.29,7.627,0.059
Co2.0 Cr0.13 Cu0.12 Hf1.54 Mo1.98 N1.65 Ni0.23 Pd1.59,7.657,60.418,224.723,-85.054,14.789,1.9,65.799,-0.114,0.255,1838.083,5.171,8.78,0.563
Fe1.78 Ni1.09,8.76,1.24,206.822,-1.884,5.52,1.092,79.721,-0.001,0.001,1779.477,4.341,7.802,0.003
Au1 Co1 Cr1 Nb1 Ta1 Ti1 W1 Zr1,6.5,18.125,184.75,-21.312,17.288,1.474,70.25,-0.161,0.386,2386.166,6.03,7.481,0.326
Al0.69 Cu0.43 Ni1.32 Pd1.43 Ti1.09,7.794,14.891,134.611,-40.732,12.722,1.757,50.427,-0.053,0.109,1661.028,4.139,7.44,0.13
Ag1 Li1 N1 Ni1 Ti1 V1 W1,6.571,64.429,178.429,-51.429,16.178,1.914,58.886,-0.247,0.623,1614.104,4.71,8.083,0.731
Al1 Cr1 Fe1 Pd1 Ti1 Zr1,5.833,23.667,148.5,-42,14.897,1.743,57.383,-0.126,0.296,1803.587,4.502,7.076,0.146
Co1 Cr1 Cu1 Hf1 Mg1 Mn1 N1,6.857,60.286,186.429,-61.306,16.178,1.803,51.471,-0.149,0.359,1473.846,3.903,8.402,0.607
Al1 Co1 Hf1 Ni1 Zn1 Zr1,7.667,23.333,137.5,-39.667,14.897,1.748,47.217,-0.087,0.191,1626.025,4.348,7.393,0.113
Mo1 Re1 V1,7.333,2.667,306.667,-8.889,9.134,1.23,118.333,-0.078,0.174,2846,6.677,7.242,0.094
Al0.21 Au1.75 Co1.43 Cu0.94 Li1.43 Pd1.52 V0.64,6.619,19.658,107.808,-15.597,15.14,1.047,39.746,-0.171,0.335,1409.77,3.606,7.656,0.538
Cr1 Hf1 Nb1 Pd1 Zr1,6.6,18.4,148.6,-41.44,13.381,1.29,52,-0.14,0.375,2278.41,5.622,7.064,0.21
Co0.48 Cr1.01 Fe1.84 Pd0.32 Si0.7,7.149,14.103,203.211,-22.907,11.907,1.569,80.462,-0.044,0.086,1873.231,4.278,7.708,0.036
Ba1 Co1 Fe1 Nb1 Ni1 Ta1 V1,6.857,102.429,150.286,6.531,16.178,1.294,57.429,-0.121,0.196,2075.714,5.073,7.147,0.212
Co1.73 Mn0.15 Ni1.46 Ta1.75 Ti1.44 Zn0.65,8.43,11.816,173.539,-25.264,13.563,1.681,63.791,-0.026,0.05,2062.974,5.091,7.751,0.065
Cr1.27 Hf1.96 Mo0.25 Nb1.91,6.373,18.161,170.57,-4.025,10.131,1.389,57.037,-0.156,0.421,2533.74,6.154,6.801,0.087
Al1 Co1 Cr1 Cu1 Re1 Ti1 V1,7,16,199.286,-12.245,16.178,1.613,77.657,-0.16,0.392,1974.606,4.771,7.116,0.042
Ba1 Co1 Fe1 Mo1 Ti1,5.8,95,175.6,19.36,13.381,1.706,65.2,-0.184,0.351,1883.2,4.352,6.984,0.374
Al1 Cr1 Cu1 Hf1 V1,6.6,25.6,150.2,-12.64,13.381,1.518,55.32,-0.135,0.333,1832.048,4.456,6.81,0.073
Co1 Cr1 Mn1 Ni1 Sc1 W1,7.5,27.833,228.5,-9.556,14.897,1.513,81.833,-0.141,0.309,2117.333,4.67,7.358,0.202
Al1.17 Co0.78 Mn1.6 Nb1.46,5.794,15.876,142.719,-20.352,11.249,1.583,40.07,-0.06,0.152,1779.76,4.607,6.969,0.024
Ag1 Co1 Cr1 Cu1 Ni1 W1,9.5,13.5,218.667,15.111,14.897,1.092,84.217,-0.12,0.264,1993.95,4.712,7.576,0.087
Al1 Co1 Cr1 Si1 Ti1,5.2,21.2,156.2,-41.28,13.381,2.502,61.46,-0.111,0.254,1701.894,4.266,7.123,0.042
Cr1.8 Fe1.15 Mn1.42 Mo1.41 Nb0.35 Si1.79,5.973,19.558,216.942,-27.743,14.186,1.877,77.984,-0.1,0.205,2049.144,4.672,7.423,0.086
Cr1 Nb1 W1,7,9.667,265,-6.222,9.134,1.223,104.667,-0.107,0.235,2875,6.857,7.13,0.238
B0.57 Co0.32 Cu1.04 Ni1.89 Re1.95 Zr1.72,8.446,48.282,253.82,-29.45,13.639,1.409,95.946,-0.17,0.382,2268.078,5.785,7.544,0.124
Nb1 Ni1 Re1 Ti1 Zr1,6.8,18.8,195.6,-30.72,13.381,1.68,73.8,-0.2,0.54,2401.2,6.258,7.148,0.099
Al1 Co1 Fe1 Mn1 V1,6.4,8,163.2,-14.88,13.381,1.408,55.06,-0.075,0.155,1642.894,4.052,7.19,0.034
Al1 Co1 Cr1 Cu1 Ni1 Pd1 Zr1,7.571,28.286,157.571,-30.776,16.178,1.367,59.657,-0.103,0.231,1703.327,4.314,7.282,0.132
Cr1 Hf1 Mo1 N1 Ni1 V1,6.667,59.833,230,-82.556,14.897,1.83,73,-0.107,0.224,1926.025,5.263,8.268,0.614
Fe1 N1 Ni1 Re1 Zr1,7.6,57.4,253.6,-91.2,13.381,1.99,81.8,-0.161,0.401,1837.83,5.608,8.918,0.631
Al1.51 Fe0.22 Mn1.7 Ti0.29,5.202,22.153,140.419,-20.405,9.062,2,34.95,-0.044,0.137,1331.492,3.329,6.827,0.009
Ag1.02 Al1.47 Cu0.29 Fe1.36 Nb1.59 Ni1.07 Ti1.52 V1.92,6.253,16.314,128.442,-12.92,16.626,1.645,50.083,-0.068,0.145,1840.985,4.798,7.008,0.041
Cr1.54 Fe1.47 Nb0.65 Ti1.1,6.019,12.769,196.571,-11.03,11.127,1.502,77.887,-0.078,0.154,2088.649,4.803,7.131,0.025
Au1.82 Cr0.73 Fe1.07 Mn0.93 Ni1.01 Ti1.91 V1.35,6.014,11.528,153.277,-19.733,15.728,1.447,55.684,-0.091,0.215,1788.596,4.322,7.592,0.279
Al1 Cr1 Fe1 Mo1 Nb1 Ti1 Zr1,5.143,22.286,172,-17.551,16.178,1.744,65.471,-0.145,0.317,2091.353,5.359,6.854,0.116
Cr1.61 Fe0.2 Nb1.32 Ni1.19 Ti0.62 Zr1.95,5.811,18.534,163.02,-22.291,13.604,1.393,62.958,-0.117,0.272,2164.2,5.584,6.917,0.08
Al1 Ta1 V1,5.667,14.667,128,-16,9.134,1.827,50.767,-0.057,0.125,2135.49,5.59,6.874,0.007
Al1.4 Co1.54 Mn1.74 Mo0.2 V0.4 Zr1.72,5.76,26.389,149.009,-31.379,13.394,1.547,45.254,-0.095,0.243,1683.6,4.466,6.997,0.09
Al1 Fe1 Hf1 Mo1,6.25,23.5,188.5,-20.5,11.526,1.802,64.575,-0.161,0.362,2036.618,5.12,6.953,0.197
Al1 Co1 Cu1 Fe1 N1 Si1,6.667,47.167,171.167,-60.333,14.897,2.577,53.1,-0.064,0.134,1270.065,4.173,8.697,0.431
Ag1 Al1 Cr1 Hf1 Ti1,6.4,21.4,138.4,-13.92,13.381,1.946,49.06,-0.171,0.467,1759.08,4.256,6.796,0.082
Al0.26 Cr1.19 Cu1.97 Ni0.82,8.913,8.613,181.677,4.331,9.991,1.132,71.028,-0.08,0.18,1634.12,3.837,7.334,0.029
Al1.49 Cr0.54 Mn1.11 Nb0.58 Ta1.7 Y1.52,5.51,35.442,136.761,-8.571,14.19,1.79,49.25,-0.097,0.249,2042.744,5.101,6.86,0.046
Al1.79 Co0.71 Fe0.8 Nb0.46 Ta0.55 V0.23,5.85,18.456,137.121,-22.204,13.317,1.902,51.645,-0.085,0.209,1751.45,4.783,6.967,0.034
Al1.43 Fe1.69 Nb1.79 Ni0.78 Si0.91 Ti1.8 Zr1.49,5.193,24.87,126.074,-40.277,15.846,2.137,47.991,-0.073,0.166,1907.531,5.23,7.034,0.07
Co1 Cr1 Fe1 N1 Nb1,6.6,53,220.8,-79.52,13.381,1.834,70,-0.078,0.168,1714.43,5.046,8.769,0.56
Al1.78 Co1.23 Cu1.82 Ni0.24,7.659,5.572,131.414,-6.078,10.17,1.721,48.365,-0.068,0.162,1325.854,3.708,7.149,0.037
Co1.31 Fe0.34 Hf1.43 Mo1.04 Ta0.55 V0.8 W0.57,7.755,19.058,220.626,-15.118,15.349,1.336,77.674,-0.11,0.26,2514.783,6.073,7.346,0.247
Be1 Cr1 Fe1 Mn1 Zr1,5.4,30.8,213.8,-18.4,13.381,1.302,79.4,-0.125,0.259,1839.6,4.238,7.612,0.053
Al1 Co1 Cr1 Cu1 Zr1,6.6,28.2,156.4,-21.76,13.381,1.49,59.52,-0.128,0.296,1673.448,4.374,6.999,0.086
Ag1 Al1 Fe1 Mo1 V1 Zr1,6.167,23,152.5,-6.889,14.897,1.475,58.05,-0.145,0.338,1864.4,4.875,6.99,0.139
Fe1 Hf1 Mo1 Ni1 Ti1,7.2,20,200,-21.44,13.381,1.678,70.4,-0.093,0.2,2176.4,5.282,7.259,0.179
Al1 Ba1 Ni1 Ta1 Zr1,5.6,92.8,112.6,-8.16,13.381,1.852,41.86,-0.203,0.409,1815.894,4.77,6.672,0.227
Au0.75 Cr1.36 Fe0.52 Mg1.82,4.429,11.416,141.474,7.105,10.633,1.394,56.231,-0.239,0.603,1480.759,3.011,7.674,0.367
Cu1 Mn1 Mo1 W1,8.5,6.25,267,14,11.526,1.217,91.075,-0.147,0.323,2366.942,5.533,7.531,0.184
Co1.11 Fe1.7,8.395,0.605,210.21,-0.956,5.578,1.042,79.235,-0.001,0.002,1794.014,4.323,7.894,0.001
Al1 Cu1 Hf1 Ni1 V1 W1,7.833,25.333,180.5,-15.333,14.897,1.543,66.433,-0.178,0.468,2067.207,5.253,7.131,0.216
Al0.69 Cu1.72 Mn1.2 Mo0.41 Nb0.22 Pd1.69 V1.23,7.821,14.321,143.774,-19.194,14.812,1.208,48.22,-0.059,0.168,1727.53,4.105,7.42,0.132
Cr1.13 Re0.53 Ta0.32 V0.14 Y1.38,5.809,27.037,207.549,6.241,11.351,1.426,88.837,-0.118,0.305,2325.06,5.231,6.821,0.128
Al0.61 Fe1.5 Mo0.77 Ni1.51 Sc1.2 Ti1.48,6.092,25.195,166.197,-23.141,14.466,2.108,63.101,-0.101,0.215,1863.451,4.459,7.141,0.122
Al1 Co1 Fe1 Hf1 Ni1,7.6,28.6,166.8,-30.72,13.381,1.602,57.86,-0.089,0.178,1749.294,4.498,7.247,0.105
Fe0.44 Mg0.69 Nb1.35 Ni1.02 V1.56 W0.13 Zr0.27,5.866,22.751,137.02,-5.975,14.291,1.247,54.101,-0.099,0.235,2082.264,5.289,7.144,0.095
Au1 Cr1 Ni1 Ti1 V1,6,11.6,160.2,-20.8,13.381,1.402,63.8,-0.1,0.224,1873.866,4.5,7.441,0.264
Co1 Cr1 Fe1 Mo1 Nb1 Re1,7.5,12.5,266,-11.333,14.897,1.185,101.333,-0.088,0.187,2477.333,5.843,7.381,0.066
Be0.17 Co0.75 Fe1.08 Mo0.35 Ni1.91 Ti0.42 V1.63,7.41,23.895,188.261,-15.397,14.174,1.218,73.819,-0.028,0.065,1938.933,4.762,7.444,0.05
Fe1.71 Hf1.61,8,16.997,178.509,-20.981,5.759,1.394,56.783,-0.089,0.209,2148.033,5.124,7.38,0.14
Co0.61 Cu0.71 N0.86 Nb1.75,6.705,56.763,168.331,-96.567,10.734,1.99,46.041,-0.032,0.079,1758.093,5.753,8.809,0.624
Al0.59 Au0.82 Mo0.67 Ta1.06,6.188,20.723,166.513,-21.997,11.315,1.653,60.891,-0.15,0.349,2253.21,5.813,7.712,0.38
Cr0.91 Fe1.24 Zr1.34,5.943,20.424,183.808,-18.818,9.026,1.185,71.791,-0.089,0.214,2028.928,5.097,7.119,0.095
Ni0.58 Ta1.61,9.265,16.174,189.708,-22.585,4.806,1.461,70.854,-0.001,0.002,2876.32,7.131,7.824,0.065
Co1 Cr1 Mn1 Ni1 V1,7.4,6.4,202.8,-9.12,13.381,1.012,71.6,-0.063,0.135,1875.6,4.232,7.294,0.041
Al0.16 Ba1.62 Co0.29 Cr0.37 Fe1.57 Mo1.48 Ni0.9 Ti1.58,5.685,94.939,172.844,18.127,15.507,1.75,65.354,-0.194,0.375,1861.983,4.279,6.872,0.368
Al1 Co1 Mo1 Ni1 Sn1 Ti1,6,26.167,162.333,-17.333,14.897,2.265,59.883,-0.155,0.336,1628.592,4.5,7.13,0.089
Al0.47 Be1.55 Pd1.11 Ta1.06 V1.85,5.695,23.338,173.182,-30.861,12.694,1.475,73.575,-0.11,0.24,2054.936,4.887,7.841,0.119
Al1 Fe1 Hf1 Ni1 Pd1 Re1 Ta1 V1,8,23.625,190.375,-32.875,17.288,1.476,70.288,-0.156,0.41,2217.315,5.413,7.401,0.139
Pd0.77 Ti1.79,5.805,5.594,117.504,-54.681,5.084,2.407,44,0,0,1907.027,4.561,7.282,0.183
Al1.93 Ni0.77 Re1.08 V0.58 Zn0.33,6.872,10.535,191.689,-15.105,12.017,2.006,74.364,-0.221,0.638,1783.071,4.682,7.027,0.039
Ba1 Cr1 Nb1 Sc1 Ta1 V1,5,91.5,130.833,35.222,14.897,1.705,52.167,-0.206,0.442,2202.833,4.962,6.656,0.141
Cr1 Cu1 Fe1 Mn1 Pd1 Y1,7.5,40.333,167.167,-13.667,14.897,1.142,60.883,-0.093,0.22,1749.137,3.857,7.397,0.186
Fe1.6 Ni0.14 Si0.64,7.042,10.849,182.387,-28.156,6.541,1.99,72.235,-0.023,0.045,1772.773,4.384,7.954,0.002
Au1 Co1 Cu1 Fe1 Ni1 Re1 Ti1,8.286,14,201,-7.02,16.178,1.381,75.757,-0.142,0.364,1914.586,4.736,7.869,0.154
Al0.28 Cu0.73 Fe1.43 Ni1.51 Si1.06 Ti0.86,7.341,21.279,158.673,-32.164,14.035,2.082,61.721,-0.045,0.084,1688.081,4.326,7.609,0.035
Al1 Ba1 Co1 Cr1 Fe1 Ni1 Pd1 V1,6.625,109.625,153.875,-10.125,17.288,1.382,60.038,-0.159,0.292,1678.94,3.899,7.059,0.254
Ba1 Co1 Fe1 V1 Zr1,5.6,93.4,131,10.4,13.381,1.3,50.4,-0.171,0.316,1778,4.386,6.875,0.268
Cr0.57 Fe1.06 Mo1.48 Ni0.79 Re0.88 Zr2.0,6.838,19.77,239.388,-21.749,14.185,1.301,90.376,-0.115,0.275,2376.605,5.972,7.224,0.192
Al1 Fe1 Mo1 Nb1 Ni1 Re1 Ta1,7.429,15.714,223.429,-20.49,16.178,1.557,84.186,-0.142,0.32,2409.639,6.067,7.308,0.091
Cr1 Hf1 Mn1 Ni1 Zr1,7,20.4,183,-24.32,13.381,1.276,57.8,-0.139,0.33,2012.2,4.802,7.06,0.101
Al1.37 Cr1.88 Ni1.14 Ta1.2 Zr1.51,6.145,24.724,170.924,-29.027,13.242,1.593,66.409,-0.127,0.27,2043.444,5.205,6.918,0.067
Fe1 Nb1 Sc1 Ta1,6.25,19,144,-2,11.526,1.858,54.5,-0.074,0.159,2416.25,5.805,7.278,0.059
Al1.9 Co1.49 Fe1.68 Mo0.98 Nb0.95 Ni0.5 Sn0.14,6.38,33.501,173.83,-16.761,14.735,1.671,64.62,-0.109,0.235,1810.953,4.797,7.149,0.066
Mo0.42 Pd0.31,7.699,0,240.671,-14.659,5.668,1.207,87.726,-0.083,0.183,2442.487,5.576,7.625,0.001
Al0.12 Co1.89 Cu0.87 Fe1.02 Mn0.54 Ni1.71 Pd0.87 Si1.06,8.53,14.062,173.186,-19.267,15.958,1.538,62.813,-0.039,0.072,1687.597,4.154,7.842,0.04
Al0.53 Cu0.92 Fe0.68 Pd1.79,8.941,13.324,131.829,-17.671,10.58,1.262,49.208,-0.05,0.112,1593.77,3.792,7.8,0.092
Fe1 Mn1 Nb1 Pd1 Ti1 Zr1,6.333,19.167,140.833,-35,14.897,1.483,46,-0.054,0.131,1996.175,5.007,7.316,0.153
Cr1 Nb1 Ta1 W1 Zr1,6.8,16.2,215,-6.72,13.381,1.346,83.2,-0.153,0.342,2808.6,7.04,7.183,0.249
Al1 Nb1 Ni1 Pd1 Ti1 W1,7,17.5,170.5,-35.778,14.897,1.818,64.883,-0.181,0.493,2145.92,5.502,7.236,0.2
Mn1.76 Ti1.65,5.548,10.323,158.323,-7.992,5.758,2.008,39.355,-0.006,0.013,1723.194,3.854,7.141,0
Cr1 Fe1 Ni1 Pd1 Ti1 V1,7.167,14,175.833,-24.111,14.897,1.337,69.667,-0.058,0.128,1945.175,4.478,7.37,0.096
Al1 Cr1 Hf1 Ni1 Pd1 Si1,6.833,29.167,153.5,-55.333,14.897,2.055,56.383,-0.125,0.297,1810.42,4.407,7.284,0.16
Au1.98 Co0.13 Sc1.1 Ti1.58,4.319,23.608,93.171,-52.744,9.7,2.242,34.37,-0.035,0.088,1657.606,4.041,7.787,0.557
Al1 Co1 Cr1 Mo1 Pd1 Ta1,7.167,14.5,199,-25.222,14.897,1.48,74.883,-0.102,0.208,2149.253,5.11,7.327,0.145
Al1 Co1 Cr1 Mo1 Ni1 Ta1 Ti1 V1,6.5,14.625,189.625,-19.938,17.288,1.626,72.788,-0.084,0.172,2114.934,5.171,7.105,0.089
Mo1.15 Nb0.6 Ni1.23 Pd0.65 Ti1.29,6.882,14.201,186.106,-30.155,12.981,1.697,69.033,-0.093,0.206,2194.708,5.413,7.285,0.144
Al1.85 Co1.14 Cu1.59 Fe0.56 Nb0.56 Ni1.44,7.7,20.622,145.577,-11.362,14.13,1.587,54.285,-0.072,0.155,1532.741,4.174,7.221,0.036
Al1 Co1 Mo1 Nb1 Ti1,5.4,17,165.8,-22.08,13.381,1.956,60.66,-0.131,0.31,2057.694,5.398,6.911,0.108
Au1 Cr1 Cu1 Nb1 Ti1,6.2,10.6,141.6,-15.04,13.381,1.454,54.46,-0.127,0.326,1913.22,4.762,7.461,0.269
Al1 Cr1 Fe1 Ni1 Pd1 Ti1 V1 Zr1,6.25,25.5,152.375,-36.062,17.288,1.565,59.662,-0.097,0.216,1841.565,4.595,7.105,0.122
Al1 Cu1 Mo1 Nb1 Ni1 V1,6.667,14.5,160.333,-10.333,14.897,1.463,60.933,-0.108,0.252,1974.707,5.165,6.993,0.086
Al0.37 Ta1.53 V0.81,6.985,20.59,152.827,-9.145,7.945,1.566,59.583,-0.034,0.057,2637.385,6.619,7.288,0.008
Al1 Nb1 Ni1 Sn1 V1,5.4,25.2,110.6,-17.12,13.381,2.072,43.06,-0.109,0.239,1619.91,4.764,6.895,0.05
Al0.21 Au1.06 Co1.46 Fe1.96 Pd0.44 Zr1.95,6.631,21.576,148.675,-36.734,13.282,1.212,54.813,-0.093,0.189,1793.557,4.799,7.717,0.31
Cr1 Mo1 Nb1 Si1 Y1 Zr1,4.667,34.333,163,-26.444,14.897,1.918,65.667,-0.138,0.316,2240,5.685,6.938,0.204
Ba1 Nb1 Ni1 Ta1,6.5,85.75,126,24.75,11.526,1.52,47,-0.186,0.359,2192,5.382,6.875,0.274
Al1 Cr1 Fe1 Mn1 N1 Si1 Ti1,5.286,52.429,183,-79.918,16.178,2.633,55.614,-0.114,0.275,1447.803,4.147,8.229,0.484
Al1 Cr1 Fe1 Mo1 Nb1 W1,6.333,14.667,234.167,-9.444,14.897,1.52,90.383,-0.137,0.273,2377.578,5.838,7.063,0.17
Cr1.05 Cu1.14 Fe1.99 Ti1.62,7.11,14.379,180.855,-4.943,11.244,1.57,70.737,-0.062,0.139,1825.029,4.251,7.362,0.04
Ag1.01 Au1.24 Co0.18 Pd0.98 Sc0.15 Ti0.44 V1.93,6.845,21.809,108.926,-20.518,13.998,1.177,42.853,-0.048,0.099,1746.143,4.244,7.705,0.276
Nb1.66 Ni1.77 V1.03 Zr0.49,6.689,22.978,142.667,-26.762,10.723,1.192,55.046,-0.049,0.1,2205.004,5.878,7.059,0.067
Cr0.3 Mo1.11 Ni1.01 Si0.21 Ti0.38,6.95,20.927,238.352,-22.131,11.732,1.691,90.05,-0.057,0.106,2227.804,5.349,7.287,0.092
Al1.99 Fe1.52 Ni0.59,5.861,4.171,140.98,-14.491,8.295,2.017,54.102,-0.099,0.25,1373.133,3.856,6.934,0.031
Cr1 Fe1 Si1 Ti1 V1,5.4,18.2,168.2,-35.52,13.381,2.084,69,-0.066,0.149,1960.4,4.634,7.279,0.035
Al1.19 C1.42 Co0.27 Cr0.33 Mo1.97 Ni0.77 Zr1.24,5.305,52.882,367.384,-59.469,14.797,2.115,92.731,-0.162,0.325,2439.679,5.835,7.728,0.346
Au1.74 Co0.11 Fe0.96 Hf0.7 Mo1.96 Ti0.39,6.193,17.986,196.613,-14.16,12.737,1.365,69.507,-0.16,0.341,2124.12,5.235,7.826,0.336
C1 Cr1 Fe1 Mo1 Ti1 V1 W1,6.143,56.143,360.571,-38.939,16.178,1.806,107,-0.088,0.177,2660.143,5.947,7.781,0.269
Co1.24 Cr0.76 Cu0.73 Fe1.07 Pd0.66,8.724,10.686,195.455,-0.318,13.127,1.001,74.538,-0.046,0.098,1790.263,4.093,7.738,0.048
Al1 Cr1 Fe1 Pd1 Ta1,7.2,14.6,173.4,-28.8,13.381,1.502,67.26,-0.098,0.209,2008.504,4.746,7.376,0.119
Au1.46 Cr1.98,5.576,9.209,193.692,0,5.667,0.954,77.651,-0.14,0.314,1822.355,3.973,7.811,0.378
Al1.61 Cr0.27 Cu1.64 Li0.21 Ni1.82 Ti0.73 W1.46,7.806,22.503,187.633,-6.524,14.533,1.726,72.221,-0.188,0.444,1856.6,4.806,7.188,0.186
